epoch,train_loss,valid_loss,_rmse,time
0,3.1755449771881104,0.7673195004463196,0.875967800617218,06:40
epoch,train_loss,valid_loss,_rmse,time
0,1.9704737663269043,0.3712669909000397,0.6093168258666992,00:20
1,1.6957165002822876,0.2583116590976715,0.5082436800003052,00:21
2,1.4721894264221191,0.23708118498325348,0.48690980672836304,00:21
3,1.272963523864746,0.16775722801685333,0.4095817804336548,00:21
4,1.0440354347229004,0.1061532124876976,0.32581162452697754,00:20
5,0.7940477728843689,0.0840286985039711,0.2898770272731781,00:21
6,0.5987288951873779,0.06211895868182182,0.24923674762248993,00:21
7,0.4277033507823944,0.04840051382780075,0.22000117599964142,00:21
8,0.30018478631973267,0.043127235025167465,0.20767098665237427,00:21
9,0.20846585929393768,0.03500472009181976,0.18709547817707062,00:21
10,0.1464054435491562,0.032230742275714874,0.17952921986579895,00:21
11,0.10590976476669312,0.03006097674369812,0.1733810305595398,00:21
12,0.07886385172605515,0.028083285316824913,0.16758069396018982,00:21
13,0.06235358864068985,0.027588287368416786,0.1660972237586975,00:21
14,0.051259469240903854,0.025818703696131706,0.16068197786808014,00:21
15,0.04352164268493652,0.02509085088968277,0.15840090811252594,00:21
16,0.03850274905562401,0.02664872072637081,0.1632443517446518,00:21
17,0.03599109873175621,0.025108061730861664,0.15845522284507751,00:21
18,0.033428046852350235,0.025479545816779137,0.1596231311559677,00:21
19,0.029818318784236908,0.025480471551418304,0.1596260368824005,00:21
20,0.027228955179452896,0.02336542308330536,0.15285751223564148,00:21
21,0.025331003591418266,0.023339834064245224,0.15277379751205444,00:21
22,0.023530028760433197,0.02275788225233555,0.15085715055465698,00:21
23,0.022219913080334663,0.022982671856880188,0.15160036087036133,00:21
24,0.02108357660472393,0.022877676412463188,0.15125368535518646,00:21
25,0.019706299528479576,0.02273201197385788,0.1507713794708252,00:21
26,0.01897667720913887,0.022363556548953056,0.14954449236392975,00:21
27,0.01804172992706299,0.0226264838129282,0.15042103826999664,00:21
28,0.01763479970395565,0.022321943193674088,0.14940530061721802,00:21
29,0.01724955439567566,0.02232740819454193,0.14942358434200287,00:21
