epoch,train_loss,valid_loss,_rmse,time
0,0.48521313071250916,0.3815252184867859,0.38190826773643494,00:15
epoch,train_loss,valid_loss,_rmse,time
0,0.41111963987350464,0.3468491733074188,0.34712913632392883,00:20
1,0.3736446499824524,0.29525724053382874,0.29574212431907654,00:20
2,0.329856276512146,0.26255643367767334,0.26315611600875854,00:20
3,0.2886046767234802,0.2157634198665619,0.21609041094779968,00:20
4,0.2526688277721405,0.20519737899303436,0.20586635172367096,00:20
5,0.21627597510814667,0.18614715337753296,0.18716628849506378,00:20
6,0.19602560997009277,0.17596811056137085,0.17650596797466278,00:20
7,0.1771988719701767,0.17382054030895233,0.17466969788074493,00:20
8,0.16811935603618622,0.17856153845787048,0.1792026311159134,00:20
9,0.15212994813919067,0.1678542047739029,0.16864131391048431,00:20
10,0.14290784299373627,0.16760030388832092,0.16808564960956573,00:20
11,0.13444842398166656,0.15392790734767914,0.15432462096214294,00:21
12,0.12808318436145782,0.15437868237495422,0.15502074360847473,00:20
13,0.12349589169025421,0.15851004421710968,0.15893708169460297,00:20
14,0.11937128007411957,0.15766450762748718,0.15800271928310394,00:21
15,0.1148095428943634,0.15323954820632935,0.1536247432231903,00:21
16,0.10881245136260986,0.15030214190483093,0.15076324343681335,00:21
17,0.10664834827184677,0.15599651634693146,0.15640196204185486,00:21
18,0.10396303981542587,0.14705973863601685,0.1475934088230133,00:21
19,0.10026296973228455,0.14675766229629517,0.14718304574489594,00:21
20,0.09812690317630768,0.1471770852804184,0.14743027091026306,00:21
21,0.09564375877380371,0.14566835761070251,0.1461597979068756,00:21
22,0.0916609913110733,0.14756067097187042,0.1479816436767578,00:21
23,0.08933651447296143,0.14493902027606964,0.14531606435775757,00:21
24,0.08771849423646927,0.14691433310508728,0.14737609028816223,00:21
25,0.08461125195026398,0.14616845548152924,0.14666181802749634,00:21
26,0.08216546475887299,0.14645680785179138,0.14689204096794128,00:21
27,0.0798928290605545,0.14342108368873596,0.14404205977916718,00:21
28,0.07779770344495773,0.14409834146499634,0.14463597536087036,00:21
29,0.0788804218173027,0.14447514712810516,0.14495065808296204,00:21
