epoch,train_loss,valid_loss,_rmse,mae,morph_accuracy,time
0,1.4437412023544312,0.5686129331588745,0.5753352046012878,0.4192245602607727,0.18063583815028902,09:08
epoch,train_loss,valid_loss,_rmse,mae,morph_accuracy,time
0,0.5169790983200073,0.4578026235103607,0.5170796513557434,0.2075035721063614,0.32947976878612717,00:32
1,0.4509887099266052,0.3364567756652832,0.3717280626296997,0.1746876835823059,0.28901734104046245,00:33
2,0.3876064717769623,0.25307992100715637,0.2614254355430603,0.14305274188518524,0.48988439306358383,00:34
3,0.3516456186771393,0.31928104162216187,0.3424099087715149,0.15472263097763062,0.4046242774566474,00:34
4,0.34568214416503906,0.24392138421535492,0.24720899760723114,0.159682497382164,0.3540462427745665,00:34
5,0.3668130040168762,0.6443268060684204,0.7895990610122681,0.198028564453125,0.31213872832369943,00:34
6,0.38321858644485474,0.6500667333602905,0.7873151302337646,0.37427768111228943,0.2023121387283237,00:34
7,0.40279972553253174,0.3373490273952484,0.33829209208488464,0.2264428287744522,0.20809248554913296,00:34
8,0.392822802066803,1.3977988958358765,1.4070911407470703,1.1260223388671875,0.319364161849711,00:34
9,0.36961719393730164,0.26940974593162537,0.2747237980365753,0.18611477315425873,0.5,00:34
10,0.35580334067344666,0.19496580958366394,0.198075070977211,0.12233076244592667,0.5549132947976878,00:34
11,0.3425390422344208,0.25098901987075806,0.2553724944591522,0.15895532071590424,0.2543352601156069,00:34
12,0.3249279260635376,0.33324283361434937,0.3357583284378052,0.1760925054550171,0.3540462427745665,00:34
13,0.32091325521469116,0.5306549668312073,0.559831976890564,0.21673892438411713,0.5158959537572254,00:34
14,0.31932857632637024,0.4108927249908447,0.42124319076538086,0.2034694105386734,0.3872832369942196,00:34
15,0.32302823662757874,0.35889893770217896,0.3695075511932373,0.1795012354850769,0.5982658959537572,00:34
16,0.2995390295982361,0.7489178776741028,0.7490964531898499,0.5925171375274658,0.044797687861271675,00:34
17,0.25502926111221313,0.1978815793991089,0.19845660030841827,0.12787067890167236,0.41329479768786126,00:34
18,0.210964635014534,0.15152062475681305,0.1523667722940445,0.09898588061332703,0.5014450867052023,00:34
19,0.1820967048406601,0.13842937350273132,0.13896778225898743,0.09233394265174866,0.6286127167630058,00:34
20,0.16191993653774261,0.13399946689605713,0.13465546071529388,0.08589736372232437,0.6560693641618497,00:34
21,0.14990726113319397,0.12912608683109283,0.1297018975019455,0.08268937468528748,0.6430635838150289,00:34
22,0.1439325511455536,0.12966564297676086,0.13072219491004944,0.08301284164190292,0.6705202312138728,00:34
23,0.13857033848762512,0.12730981409549713,0.12805873155593872,0.08385824412107468,0.6604046242774566,00:34
24,0.13425573706626892,0.12190194427967072,0.12258119881153107,0.07781561464071274,0.6820809248554913,00:34
25,0.12679578363895416,0.12765811383724213,0.12874959409236908,0.0773109719157219,0.680635838150289,00:34
26,0.12463391572237015,0.11755834519863129,0.11823633313179016,0.07175657153129578,0.6994219653179191,00:34
27,0.12287537753582001,0.11450789868831635,0.1154913529753685,0.06927379965782166,0.6979768786127167,00:34
28,0.11993248760700226,0.11448168754577637,0.11528806388378143,0.06875160336494446,0.7239884393063584,00:34
29,0.11818700283765793,0.11596386134624481,0.11685963720083237,0.07028843462467194,0.7153179190751445,00:34
