epoch,train_loss,valid_loss,_rmse,time
0,1.7983185052871704,1.1552221775054932,1.156739592552185,00:41
epoch,train_loss,valid_loss,_rmse,time
0,1.3116745948791504,0.5928828716278076,0.594918429851532,00:56
1,1.231886863708496,0.4930087924003601,0.4953593611717224,00:56
2,1.1544010639190674,0.5172411203384399,0.5219259858131409,00:56
3,1.0502424240112305,0.43542975187301636,0.469515323638916,00:56
4,0.9667414426803589,0.3800928294658661,0.3901363015174866,00:56
5,0.8535837531089783,1.8060736656188965,2.0427818298339844,00:56
6,0.7647672295570374,0.23097582161426544,0.23761989176273346,00:56
7,0.7000024914741516,0.566143274307251,0.7435119152069092,00:56
8,0.649003267288208,0.38117751479148865,0.48375430703163147,00:56
9,0.5853856801986694,0.49484995007514954,0.5026876926422119,00:56
10,0.5326165556907654,0.15987683832645416,0.16032932698726654,00:56
11,0.5015665888786316,0.5032264590263367,0.517300009727478,00:56
12,0.46553102135658264,0.1766831874847412,0.17797739803791046,00:56
13,0.4308191239833832,0.4049912691116333,0.419676810503006,00:56
14,0.4129011332988739,0.8488861918449402,1.012872576713562,00:56
15,0.38116899132728577,0.3256906569004059,0.47782644629478455,00:56
16,0.3665587902069092,0.26966187357902527,0.41024887561798096,00:56
17,0.33896374702453613,0.3636334240436554,0.4618663191795349,00:56
18,0.3296409249305725,2.3912441730499268,3.0221505165100098,00:56
19,0.3283413350582123,0.17123979330062866,0.1896282285451889,00:56
20,0.3135358989238739,0.13821077346801758,0.13864639401435852,00:56
21,0.30663958191871643,0.17227578163146973,0.20038531720638275,00:56
22,0.2958482801914215,0.2492624819278717,0.3286520540714264,00:56
23,0.2856907844543457,0.15550929307937622,0.1617583930492401,00:56
24,0.2874695956707001,0.1465274542570114,0.1504637748003006,00:56
25,0.27934595942497253,0.18046845495700836,0.22639918327331543,00:56
26,0.27291858196258545,0.14910165965557098,0.15717311203479767,00:56
27,0.2552494406700134,0.16366738080978394,0.1794579178094864,00:56
28,0.25502485036849976,0.15481828153133392,0.16956958174705505,00:56
29,0.24879054725170135,0.16200652718544006,0.18586602807044983,00:56
