epoch,train_loss,valid_loss,accuracy,time
0,2.888076066970825,00:22
1,4.234762668609619,00:22
epoch,train_loss,valid_loss,accuracy,time
0,2.1470062732696533,1.749695897102356,0.49855491518974304,00:25
epoch,train_loss,valid_loss,accuracy,time
0,1.4228748083114624,1.2688708305358887,0.5361271500587463,00:33
1,1.2551528215408325,1.3492945432662964,0.5549132823944092,00:34
2,1.1495084762573242,2.6741373538970947,0.5361271500587463,00:34
3,1.0754810571670532,1.2042863368988037,0.5534682273864746,00:34
4,0.9951288104057312,1.1949858665466309,0.6040462255477905,00:34
5,0.9786179661750793,1.0885734558105469,0.6676300764083862,00:34
6,0.9053708910942078,1.074857473373413,0.6517341136932373,00:34
7,0.8329601883888245,0.9047461748123169,0.6575144529342651,00:34
8,0.7654953002929688,0.9188445210456848,0.6849710941314697,00:35
9,0.6805946230888367,0.8812143802642822,0.7095375657081604,00:35
10,0.615946888923645,0.9988767504692078,0.6416184902191162,00:35
11,0.5644616484642029,0.9032694101333618,0.6849710941314697,00:35
12,0.49961721897125244,0.9089691638946533,0.6979768872261047,00:35
13,0.43182173371315,0.9049333333969116,0.6979768872261047,00:35
14,0.383709579706192,0.912567675113678,0.6921965479850769,00:35
