epoch,train_loss,valid_loss,accuracy,time
0,2.317927598953247,1.7878172397613525,0.4667630195617676,00:16
epoch,train_loss,valid_loss,accuracy,time
0,1.6819636821746826,1.6111152172088623,0.4956647455692291,00:21
1,1.3602913618087769,1.6076160669326782,0.5158959627151489,00:21
2,1.1624715328216553,1.524401307106018,0.560693621635437,00:21
3,1.0365418195724487,1.657947301864624,0.560693621635437,00:21
4,0.9306744337081909,1.7287744283676147,0.5274566411972046,00:21
5,0.7695478796958923,1.6830449104309082,0.5447976589202881,00:21
6,0.6120880246162415,2.0297298431396484,0.5057803392410278,00:21
7,0.4703301191329956,2.04373836517334,0.5274566411972046,00:21
8,0.3629362881183624,2.253570318222046,0.5621387362480164,00:21
9,0.2659854292869568,2.495422601699829,0.5491329431533813,00:21
10,0.1926295906305313,2.61486554145813,0.5158959627151489,00:21
11,0.1452496200799942,2.489884853363037,0.5419074892997742,00:21
12,0.10514186322689056,2.3545243740081787,0.5563583970069885,00:21
13,0.081800676882267,2.3842484951019287,0.5505780577659607,00:21
14,0.06658942252397537,2.4362294673919678,0.5664739608764648,00:21
15,0.04906158149242401,2.4436798095703125,0.5592485666275024,00:21
16,0.037784162908792496,2.38090443611145,0.5794797539710999,00:21
17,0.02936205454170704,2.3637678623199463,0.5765895843505859,00:21
18,0.02819979004561901,2.341609477996826,0.5722543597221375,00:21
19,0.026505596935749054,2.3779921531677246,0.5794797539710999,00:21
