epoch,train_loss,valid_loss,mae,time
0,52.29184341430664,29.215673446655273,29.215673446655273,00:07
epoch,train_loss,valid_loss,mae,time
0,16.698381423950195,62.837364196777344,62.837364196777344,00:08
1,14.041343688964844,24.45101547241211,24.45101547241211,00:08
2,12.696733474731445,12.722824096679688,12.722824096679688,00:08
3,11.940094947814941,8.591676712036133,8.591676712036133,00:08
4,11.433357238769531,11.269207000732422,11.269207000732422,00:08
5,11.052735328674316,8.930670738220215,8.930670738220215,00:08
6,10.66037368774414,11.127507209777832,11.127507209777832,00:08
7,10.36841106414795,9.707837104797363,9.707837104797363,00:08
8,10.091426849365234,9.965669631958008,9.965669631958008,00:08
9,10.111209869384766,9.590073585510254,9.590073585510254,00:08
10,10.113005638122559,8.406296730041504,8.406296730041504,00:08
11,9.973673820495605,12.959991455078125,12.959991455078125,00:08
12,9.658127784729004,7.874440670013428,7.874440670013428,00:08
13,9.49170970916748,10.641254425048828,10.641254425048828,00:08
14,9.180420875549316,9.753568649291992,9.753568649291992,00:08
15,9.10053825378418,9.127080917358398,9.127080917358398,00:09
16,8.978677749633789,6.528069972991943,6.528069972991943,00:09
17,8.860321044921875,9.38073444366455,9.38073444366455,00:08
18,8.778180122375488,8.006649017333984,8.006649017333984,00:08
19,8.678424835205078,7.487980365753174,7.487980365753174,00:08
20,8.641148567199707,8.412527084350586,8.412527084350586,00:08
21,8.504695892333984,7.444210529327393,7.444210529327393,00:08
22,8.546194076538086,8.318391799926758,8.318391799926758,00:08
23,8.554186820983887,6.379916667938232,6.379916667938232,00:08
24,8.404702186584473,10.548807144165039,10.548807144165039,00:08
25,8.40945053100586,6.704873085021973,6.704873085021973,00:08
26,8.398709297180176,6.961904048919678,6.961904048919678,00:08
27,8.255598068237305,6.97318696975708,6.97318696975708,00:08
28,8.2565279006958,5.70577335357666,5.70577335357666,00:08
29,8.068374633789062,8.254722595214844,8.254722595214844,00:09
30,8.014647483825684,5.750543594360352,5.750543594360352,00:09
31,7.920248985290527,6.526049613952637,6.526049613952637,00:08
32,7.6876444816589355,7.263006210327148,7.263006210327148,00:09
33,7.671931266784668,7.164931297302246,7.164931297302246,00:08
34,7.62323522567749,5.544976711273193,5.544976711273193,00:08
35,7.490169048309326,5.4093337059021,5.4093337059021,00:08
36,7.349642276763916,5.149328708648682,5.149328708648682,00:08
37,7.160364151000977,5.317180633544922,5.317180633544922,00:08
38,7.0405964851379395,4.4488091468811035,4.4488091468811035,00:08
39,6.947624206542969,5.052920341491699,5.052920341491699,00:08
40,6.840912342071533,4.918730735778809,4.918730735778809,00:08
41,6.806815147399902,4.731729507446289,4.731729507446289,00:08
42,6.783137798309326,4.57064151763916,4.57064151763916,00:08
43,6.654021263122559,3.987673759460449,3.987673759460449,00:08
44,6.590134143829346,4.0329670906066895,4.0329670906066895,00:08
45,6.529037952423096,4.203742980957031,4.203742980957031,00:08
46,6.451602935791016,3.9735236167907715,3.9735236167907715,00:08
47,6.490466117858887,4.029663562774658,4.029663562774658,00:08
48,6.402285099029541,4.010158061981201,4.010158061981201,00:09
49,6.369795799255371,4.039188861846924,4.039188861846924,00:08
