epoch,train_loss,valid_loss,mae_angle,time
0,88.30802917480469,3658996.0,3658996.0,00:04
epoch,train_loss,valid_loss,mae_angle,time
0,64.1987075805664,349.8434143066406,349.8434143066406,00:04
1,43.43523025512695,22.908863067626953,22.908863067626953,00:04
2,34.1141357421875,21.943756103515625,21.943756103515625,00:04
3,28.019168853759766,17.037464141845703,17.037464141845703,00:04
4,24.11285972595215,13.4270601272583,13.4270601272583,00:04
5,21.029695510864258,11.616486549377441,11.616486549377441,00:04
6,18.85880470275879,11.470705032348633,11.470705032348633,00:04
7,17.393831253051758,15.611444473266602,15.611444473266602,00:04
8,16.187625885009766,25.41969108581543,25.41969108581543,00:04
9,15.71536922454834,17.73514175415039,17.73514175415039,00:04
10,15.84703540802002,14.423966407775879,14.423966407775879,00:04
11,16.806629180908203,28.39225196838379,28.39225196838379,00:04
12,17.37120246887207,32.86845397949219,32.86845397949219,00:04
13,17.2526798248291,11.15034294128418,11.15034294128418,00:04
14,17.035295486450195,20.808517456054688,20.808517456054688,00:04
15,16.983884811401367,14.440547943115234,14.440547943115234,00:04
16,16.251401901245117,16.551769256591797,16.551769256591797,00:04
17,15.25784683227539,10.190773963928223,10.190773963928223,00:04
18,14.32132625579834,18.670095443725586,18.670095443725586,00:04
19,13.528997421264648,8.347789764404297,8.347789764404297,00:04
20,12.629974365234375,13.279589653015137,13.279589653015137,00:04
21,12.177777290344238,11.889273643493652,11.889273643493652,00:04
22,11.782279014587402,10.570111274719238,10.570111274719238,00:04
23,11.242534637451172,8.45321273803711,8.45321273803711,00:04
24,10.817648887634277,21.313581466674805,21.313581466674805,00:04
25,10.409865379333496,13.162022590637207,13.162022590637207,00:04
26,10.006847381591797,13.878525733947754,13.878525733947754,00:04
27,9.868828773498535,13.584603309631348,13.584603309631348,00:04
28,9.596034049987793,15.475401878356934,15.475401878356934,00:04
29,9.310399055480957,10.001946449279785,10.001946449279785,00:04
30,9.034224510192871,9.35368537902832,9.35368537902832,00:04
31,8.80328369140625,8.072726249694824,8.072726249694824,00:04
32,8.502196311950684,6.664409637451172,6.664409637451172,00:04
33,8.221853256225586,16.979433059692383,16.979433059692383,00:04
34,8.072355270385742,7.806980133056641,7.806980133056641,00:04
35,7.870940685272217,6.005363941192627,6.005363941192627,00:04
36,7.663242816925049,7.768704891204834,7.768704891204834,00:04
37,7.4537577629089355,6.537957668304443,6.537957668304443,00:04
38,7.260745048522949,5.970533847808838,5.970533847808838,00:04
39,7.121899604797363,6.366733551025391,6.366733551025391,00:04
40,7.001035690307617,5.943131446838379,5.943131446838379,00:04
41,6.831925868988037,5.480800628662109,5.480800628662109,00:04
42,6.66189432144165,5.282142162322998,5.282142162322998,00:04
43,6.493031978607178,5.394862651824951,5.394862651824951,00:04
44,6.293295383453369,5.064046859741211,5.064046859741211,00:04
45,6.123876571655273,4.974314212799072,4.974314212799072,00:04
46,5.975683689117432,4.874971866607666,4.874971866607666,00:04
47,5.827127456665039,5.007303237915039,5.007303237915039,00:04
48,5.67926549911499,4.931193828582764,4.931193828582764,00:04
49,5.548295497894287,4.945692539215088,4.945692539215088,00:04
